,index,name
701,217,Notre Dame de Lorette
702,322,Saint-Georges
703,217,Notre Dame de Lorette
704,353,Trinité d'Estienne d'Orves
705,217,Notre Dame de Lorette
706,322,Saint-Georges
707,217,Notre Dame de Lorette
708,322,Saint-Georges
709,238,Pigalle
710,322,Saint-Georges
711,238,Pigalle
712,0,Abbesses
713,159,Lamarck Caulaincourt
714,147,Jules Joffrin
715,191,Marcadet Poissonniers
716,192,Marcadet Poissonniers
717,337,Simplon
718,268,Porte de Clignancourt
719,337,Simplon
720,268,Porte de Clignancourt
721,337,Simplon
722,192,Marcadet Poissonniers
723,337,Simplon
724,192,Marcadet Poissonniers
725,64,Château Rouge
726,14,Barbès Rochechouart
727,14,Barbès Rochechouart
728,124,Gare du Nord
729,121,Gare de l'Est
730,65,Château d'Eau
731,342,Strasbourg Saint-Denis
732,310,Réaumur Sébastopol
733,342,Strasbourg Saint-Denis
734,343,Strasbourg Saint-Denis
735,314,République
736,315,République
737,220,Oberkampf
738,316,Saint-Ambroise
739,220,Oberkampf
740,316,Saint-Ambroise
741,369,Voltaire
742,58,Charonne
743,307,Rue des Boulets
744,58,Charonne
745,307,Rue des Boulets
746,215,Nation
747,42,Buzenval
748,190,Maraîchers
749,269,Porte de Montreuil
750,190,Maraîchers
751,269,Porte de Montreuil
752,301,Robespierre
753,88,Croix de Chavaux
754,181,Mairie de Montreuil
755,88,Croix de Chavaux
756,181,Mairie de Montreuil
757,88,Croix de Chavaux
758,301,Robespierre
759,269,Porte de Montreuil
760,190,Maraîchers
761,42,Buzenval
762,215,Nation
763,214,Nation
764,212,Nation
765,295,Reuilly Diderot
766,119,Gare de Lyon
767,295,Reuilly Diderot
768,212,Nation
769,275,Porte de Vincennes
770,328,"Saint-Mandé, Tourelle"
771,43,Bérault
772,66,Château de Vincennes
773,43,Bérault
774,328,"Saint-Mandé, Tourelle"
775,275,Porte de Vincennes
776,328,"Saint-Mandé, Tourelle"
777,275,Porte de Vincennes
778,212,Nation
779,214,Nation
780,236,Picpus
781,19,Bel Air
782,93,Daumesnil
783,19,Bel Air
784,93,Daumesnil
785,19,Bel Air
786,93,Daumesnil
787,19,Bel Air
788,93,Daumesnil
789,97,Dugommier
790,23,Bercy
791,22,Bercy
792,84,Cour Saint-Émilion
793,24,Bibliothèque François Mitterand
794,84,Cour Saint-Émilion
795,22,Bercy
796,120,Gare de Lyon
797,22,Bercy
798,84,Cour Saint-Émilion
799,22,Bercy
800,23,Bercy
801,97,Dugommier
802,93,Daumesnil
803,94,Daumesnil
804,200,Michel Bizot
805,257,Porte Dorée
806,265,Porte de Charenton
807,167,Liberté
808,53,Charenton-Écoles
809,372,École Vétérinaire de Maisons-Alfort
810,186,"Maisons-Alfort, Stade"
811,372,École Vétérinaire de Maisons-Alfort
812,186,"Maisons-Alfort, Stade"
813,185,Maisons-Alfort les Juilliottes
814,186,"Maisons-Alfort, Stade"
815,372,École Vétérinaire de Maisons-Alfort
816,186,"Maisons-Alfort, Stade"
817,372,École Vétérinaire de Maisons-Alfort
818,186,"Maisons-Alfort, Stade"
819,185,Maisons-Alfort les Juilliottes
820,91,"Créteil-l'Echat, Hôpital Henri Mondor"
821,90,Créteil-Université
822,89,Créteil-Préfecture
823,90,Créteil-Université
824,89,Créteil-Préfecture
825,90,Créteil-Université
826,89,Créteil-Préfecture
827,90,Créteil-Université
828,89,Créteil-Préfecture
829,90,Créteil-Université
830,91,"Créteil-l'Echat, Hôpital Henri Mondor"
831,185,Maisons-Alfort les Juilliottes
832,91,"Créteil-l'Echat, Hôpital Henri Mondor"
833,185,Maisons-Alfort les Juilliottes
834,186,"Maisons-Alfort, Stade"
835,185,Maisons-Alfort les Juilliottes
836,186,"Maisons-Alfort, Stade"
837,372,École Vétérinaire de Maisons-Alfort
838,53,Charenton-Écoles
839,167,Liberté
840,53,Charenton-Écoles
841,372,École Vétérinaire de Maisons-Alfort
842,186,"Maisons-Alfort, Stade"
843,372,École Vétérinaire de Maisons-Alfort
844,53,Charenton-Écoles
845,167,Liberté
846,265,Porte de Charenton
847,257,Porte Dorée
848,200,Michel Bizot
849,94,Daumesnil
850,205,Montgallet
851,94,Daumesnil
852,205,Montgallet
853,205,Montgallet
854,296,Reuilly Diderot
855,205,Montgallet
856,296,Reuilly Diderot
857,295,Reuilly Diderot
858,212,Nation
859,213,Nation
860,12,Avron
861,213,Nation
862,12,Avron
863,1,Alexandre Dumas
864,12,Avron
865,12,Avron
866,1,Alexandre Dumas
867,12,Avron
868,1,Alexandre Dumas
869,235,Philippe-Auguste
870,1,Alexandre Dumas
871,235,Philippe-Auguste
872,284,Père Lachaise
873,235,Philippe-Auguste
874,284,Père Lachaise
875,211,Ménilmontant
876,86,Couronnes
877,211,Ménilmontant
878,86,Couronnes
879,211,Ménilmontant
880,284,Père Lachaise
881,211,Ménilmontant
882,284,Père Lachaise
883,211,Ménilmontant
884,284,Père Lachaise
885,235,Philippe-Auguste
886,284,Père Lachaise
887,285,Père Lachaise
888,115,Gambetta
889,115,Gambetta
890,263,Porte de Bagnolet
891,114,Galliéni
892,263,Porte de Bagnolet
893,115,Gambetta
894,116,Gambetta
895,233,Pelleport
896,320,Saint-Fargeau
897,279,Porte des Lilas
898,320,Saint-Fargeau
899,279,Porte des Lilas
900,278,Porte des Lilas
901,183,Mairie des Lilas
902,278,Porte des Lilas
903,183,Mairie des Lilas
904,278,Porte des Lilas
905,279,Porte des Lilas
906,320,Saint-Fargeau
907,320,Saint-Fargeau
908,279,Porte des Lilas
909,320,Saint-Fargeau
910,233,Pelleport
911,116,Gambetta
912,233,Pelleport
913,320,Saint-Fargeau
914,279,Porte des Lilas
915,320,Saint-Fargeau
916,233,Pelleport
917,116,Gambetta
918,115,Gambetta
919,285,Père Lachaise
920,285,Père Lachaise
921,115,Gambetta
922,285,Père Lachaise
923,115,Gambetta
924,263,Porte de Bagnolet
925,115,Gambetta
926,285,Père Lachaise
927,305,Rue Saint-Maur
928,285,Père Lachaise
